Code,Borough,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
E09000001,City of London,42720,43620,45150,48070,48380,51410,53110,54960,57520,59240,62290,63620
E09000002,Barking and Dagenham,20120,20410,21020,22300,22390,23750,24520,25360,26550,27360,28780,29420
E09000003,Barnet,29480,29780,30520,32200,32150,33900,34790,35770,37220,38120,39880,40530
E09000004,Bexley,25490,25860,26620,28220,28310,30010,30950,31990,33460,34440,36210,36990
E09000005,Brent,24280,24400,24900,26160,26010,27340,27960,28660,29730,30370,31690,32140
E09000006,Bromley,29550,30040,30980,32880,33010,35000,36110,37310,39020,40150,42180,43060
E09000007,Camden,31300,31710,32580,34450,34460,36400,37410,38510,40110,41120,43030,43750
E09000008,Croydon,26450,26780,27500,29070,29080,30720,31570,32510,33870,34730,36370,37000
E09000009,Ealing,27160,27350,27940,29380,29240,30740,31450,32230,33430,34140,35600,36070
E09000010,Enfield,25100,25240,25750,27050,26900,28260,28900,29610,30700,31340,32680,33110
E09000011,Greenwich,22960,23460,24310,25940,26180,27910,28940,30050,31580,32660,34480,35350
E09000012,Hackney,22000,22550,23460,25130,25450,27230,28330,29520,31120,32270,34170,35140
E09000013,Hammersmith and Fulham,30550,31030,31960,33890,33980,35980,37060,38230,39910,41000,43010,43820
E09000014,Haringey,24780,25120,25840,27370,27420,29020,29890,30840,32200,33100,34740,35420
E09000015,Harrow,28630,28880,29540,31130,31030,32690,33500,34410,35780,36620,38280,38880
E09000016,Havering,25710,26030,26740,28300,28340,29990,30880,31870,33290,34230,35940,36670
E09000017,Hillingdon,26880,27150,27820,29350,29310,30910,31730,32630,33970,34810,36430,37040
E09000018,Hounslow,26550,26730,27310,28720,28590,30060,30750,31530,32720,33420,34860,35330
E09000019,Islington,27700,28120,28960,30710,30800,32620,33610,34680,36220,37220,39050,39790
E09000020,Kensington and Chelsea,36970,37780,39150,41720,42040,44710,46250,47900,50180,51720,54430,55620
E09000021,Kingston upon Thames,31370,31770,32630,34500,34510,36460,37470,38590,40210,41240,43190,43940
E09000022,Lambeth,26820,27230,28040,29720,29800,31560,32510,33550,35030,35990,37760,38490
E09000023,Lewisham,24410,24820,25610,27210,27340,29020,29970,31000,32440,33420,35140,35900
E09000024,Merton,29330,29770,30650,32480,32560,34460,35490,36610,38220,39260,41180,41960
E09000025,Newham,17950,18390,19120,20470,20740,22190,23100,24090,25410,26380,27960,28780
E09000026,Redbridge,26600,26870,27540,29070,29040,30640,31470,32390,33740,34590,36230,36860
E09000027,Richmond upon Thames,36080,36800,38050,40470,40710,43240,44660,46200,48360,49800,52360,53470
E09000028,Southwark,25030,25490,26320,27980,28150,29900,30890,31970,33480,34500,36300,37100
E09000029,Sutton,27510,27930,28780,30520,30630,32470,33480,34600,36180,37230,39130,39940
E09000030,Tower Hamlets,23040,23490,24300,25890,26090,27770,28760,29840,31320,32340,34100,34930
E09000031,Waltham Forest,23000,23320,23990,25420,25490,27000,27820,28730,30020,30870,32420,33080
E09000032,Wandsworth,32800,33340,34370,36450,36580,38760,39960,41260,43110,44330,46550,47480
E09000033,Westminster,33190,33740,34770,36880,36980,39150,40320,41580,43380,44530,46670,47510
